date,crop,location,demand_kg,modal_price,day,month,day_of_week,previous_demand
2026-04-05,Apple,Guntur,5.0,120.0,5,4,6,6.0
2026-06-18,Apple,Guntur,4.0,120.0,18,6,3,5.0
2026-08-05,Apple,Guntur,8.0,120.0,5,8,2,4.0
2026-08-18,Apple,Guntur,4.0,120.0,18,8,1,8.0
2026-09-05,Apple,Guntur,5.0,120.0,5,9,5,4.0
2026-04-22,Brinjal,Rajahmundry,10.0,36.0,22,4,2,10.0
2026-08-18,Brinjal,Rajahmundry,15.0,36.0,18,8,1,10.0
2026-09-02,Brinjal,Rajahmundry,12.0,36.0,2,9,2,15.0
2026-09-07,Brinjal,Rajahmundry,1.0,36.0,7,9,0,12.0
2026-03-17,Cauliflower,Visakhapatnam,6.0,48.0,17,3,1,8.0
2026-09-04,Cauliflower,Visakhapatnam,8.0,48.0,4,9,4,6.0
2026-08-27,Chilli,Chittoor,5.0,65.0,27,8,3,7.0
2026-09-01,Chilli,Chittoor,8.0,65.0,1,9,1,5.0
2026-09-04,Chilli,Chittoor,6.0,65.0,4,9,4,8.0
2026-08-14,Coriander,Chittoor,5.0,80.0,14,8,4,4.0
2026-08-30,Coriander,Chittoor,4.0,80.0,30,8,6,5.0
2026-09-02,Coriander,Chittoor,6.0,80.0,2,9,2,4.0
2026-09-03,Coriander,Chittoor,5.0,80.0,3,9,3,6.0
2026-09-06,Coriander,Chittoor,2.0,80.0,6,9,6,5.0
2026-09-07,Coriander,Chittoor,1.0,80.0,7,9,0,2.0
2026-03-17,Cucumber,Kurnool,20.0,30.0,17,3,1,12.0
2026-04-22,Cucumber,Kurnool,15.0,30.0,22,4,2,20.0
2026-08-27,Cucumber,Kurnool,15.0,30.0,27,8,3,15.0
2026-09-05,Cucumber,Kurnool,1.0,30.0,5,9,5,15.0
2026-09-07,Cucumber,Kurnool,1.0,30.0,7,9,0,1.0
2026-08-14,Guava,Rajahmundry,12.0,55.0,14,8,4,8.0
2026-08-30,Guava,Rajahmundry,10.0,55.0,30,8,6,12.0
2026-06-18,Mango,Nellore,6.0,95.0,18,6,3,8.0
2026-08-14,Mango,Nellore,6.0,95.0,14,8,4,6.0
2026-08-30,Mango,Nellore,7.0,95.0,30,8,6,6.0
2026-09-03,Mango,Nellore,10.0,95.0,3,9,3,7.0
2026-03-17,Onion,Nellore,30.0,32.0,17,3,1,20.0
2026-06-09,Onion,Nellore,12.0,32.0,9,6,1,30.0
2026-07-16,Onion,Nellore,15.0,32.0,16,7,3,12.0
2026-08-18,Onion,Nellore,25.0,32.0,18,8,1,15.0
2026-09-04,Onion,Nellore,20.0,32.0,4,9,4,25.0
2026-09-05,Onion,Nellore,24.0,32.0,5,9,5,20.0
2026-09-07,Onion,Nellore,1.0,32.0,7,9,0,24.0
2026-05-21,Spinach,Visakhapatnam,8.0,38.0,21,5,3,5.0
2026-06-09,Spinach,Visakhapatnam,10.0,38.0,9,6,1,8.0
2026-06-18,Spinach,Visakhapatnam,8.0,38.0,18,6,3,10.0
2026-07-16,Spinach,Visakhapatnam,10.0,38.0,16,7,3,8.0
2026-09-06,Spinach,Visakhapatnam,1.0,38.0,6,9,6,10.0
2026-03-05,Tomato,Guntur,30.0,28.0,5,3,3,15.0
2026-04-22,Tomato,Guntur,25.0,28.0,22,4,2,30.0
2026-09-02,Tomato,Guntur,18.0,28.0,2,9,2,25.0
2026-09-05,Tomato,Guntur,30.0,28.0,5,9,5,18.0
