crop,location,demand_kg,modal_price,previous_demand,month,quantity_kg,production_cost_per_kg,selling_price_per_kg,transport_cost,other_cost,profit
Apple,Guntur,5.0,120.0,6.0,4,1226,82.67554752696839,106.40243495678793,2015.3202006000924,517.7951105625409,26556.048677796134
Apple,Guntur,5.0,120.0,6.0,4,221,59.6158027321033,103.39400669203678,2205.5875207048575,520.7805082202462,6948.615046220197
Apple,Guntur,5.0,120.0,6.0,4,1787,77.4319850261587,103.3538778966504,1888.3972989870144,756.9868963110251,43677.038364270615
Apple,Guntur,5.0,120.0,6.0,4,485,60.54569881945562,106.4017082364824,969.332934510983,467.32950214256647,20803.502130604444
Apple,Guntur,5.0,120.0,6.0,4,847,54.83024730149097,114.59459184620134,1179.694137773562,132.66596424953082,49308.03972734659
Apple,Guntur,5.0,120.0,6.0,4,799,67.1890263585729,112.94567962120887,2027.3871150646298,239.7716475108518,34292.40719427065
Apple,Guntur,5.0,120.0,6.0,4,1690,89.39631188904437,113.20230943795151,2191.868894819905,576.2152770114458,37464.05168582173
Apple,Guntur,5.0,120.0,6.0,4,940,56.34185734747006,124.77325289408002,2424.3904727640306,665.8781436815228,61235.2431973678
Apple,Guntur,5.0,120.0,6.0,4,876,54.57478507992771,107.54145181493158,830.2560252572258,578.2844631778207,44990.25957142833
Apple,Guntur,5.0,120.0,6.0,4,1551,71.82636876400574,102.82532450676524,2300.504884573321,281.14598712001185,45497.72948532665
Apple,Guntur,5.0,120.0,6.0,4,1995,81.1930107714355,112.20374098778987,757.4716583100154,497.39022947399405,60611.544893842976
Apple,Guntur,5.0,120.0,6.0,4,1600,88.9050465995241,120.60318776066676,2366.897671441216,726.3791452993541,47623.74904108766
Apple,Guntur,5.0,120.0,6.0,4,369,80.18179185083116,109.83697845134004,1554.9767436918787,464.5839820180766,8923.203129877824
Apple,Guntur,5.0,120.0,6.0,4,1825,65.71189190747752,111.32825495254757,896.967869902571,680.1162564063505,81672.77843094392
Apple,Guntur,5.0,120.0,6.0,4,316,64.11364234874571,115.02470599579797,610.0332949444778,661.5378865278278,14816.324930996205
Apple,Guntur,5.0,120.0,6.0,4,164,54.56291064268298,112.16163553695287,1168.7393399862535,305.44172230262666,7972.009820371384
Apple,Guntur,5.0,120.0,6.0,4,1186,83.35661142437402,118.96457625234281,1903.8157696901721,639.889242680162,39687.34127360064
Apple,Guntur,5.0,120.0,6.0,4,1896,87.34683162648057,117.62584861204667,2312.9112861963176,695.0270044528595,54401.07791398413
Apple,Guntur,5.0,120.0,6.0,4,879,65.91232889469538,103.52540040686456,984.1611077744568,327.62832541872297,31750.100426003533
Apple,Guntur,5.0,120.0,6.0,4,198,75.28672035747817,108.59332303176154,1534.7355368649426,368.0488123276529,4691.922980315514
Apple,Guntur,5.0,120.0,6.0,4,1585,84.56089767357902,119.32150850795696,819.1668234477027,279.2478259329268,53997.1535231084
Apple,Guntur,5.0,120.0,6.0,4,894,72.81838185775179,112.2609844406052,355.9220788370094,175.52399889531313,34730.24063133862
Apple,Guntur,5.0,120.0,6.0,4,1698,86.2474894442467,113.40888535637067,1539.206258348044,586.8612604982893,43993.98273994017
Apple,Guntur,5.0,120.0,6.0,4,584,62.9745202493595,111.84919015285512,1962.212504794707,260.1587158441357,26320.436003002607
Apple,Guntur,5.0,120.0,6.0,4,1283,75.55915679358729,118.67483839295292,2237.029245833567,537.0478336936553,52543.34241245889
Apple,Guntur,4.0,120.0,5.0,6,1697,76.80253523437524,122.91505416450522,2068.078569178052,230.59904122022508,75954.26701403229
Apple,Guntur,4.0,120.0,5.0,6,1921,85.79808932107926,109.78428050412657,568.5935003414813,349.4084866538824,45159.4712756385
Apple,Guntur,4.0,120.0,5.0,6,289,57.96186928299636,107.4704439010066,1239.637134977764,672.6103361457452,12395.73059348145
Apple,Guntur,4.0,120.0,5.0,6,1868,64.97212529368905,105.9517404754306,1474.9967226259723,439.3809799512882,74635.54345691594
Apple,Guntur,4.0,120.0,5.0,6,1348,58.31515322401258,110.10276411368707,2374.4013486075423,326.24205241452864,67109.05607825915
Apple,Guntur,4.0,120.0,5.0,6,1731,74.09167207262428,111.69206810539299,442.76294363975944,277.7407897540413,64365.78179932883
Apple,Guntur,4.0,120.0,5.0,6,1391,63.06416264971311,113.93396414141725,961.9322815968933,299.38834606422733,69498.57324729934
Apple,Guntur,4.0,120.0,5.0,6,1204,63.604116513910256,125.43875893998369,1204.2814293001088,123.13551303038386,73121.4925386619
Apple,Guntur,4.0,120.0,5.0,6,1859,86.69757189479952,107.74948537600734,618.7687186006908,442.6169321942941,38074.12151077035
Apple,Guntur,4.0,120.0,5.0,6,1795,73.9041512065678,116.22472137310545,477.87731793197355,358.7581192429831,75128.78801176013
Apple,Guntur,4.0,120.0,5.0,6,500,80.21578855002694,110.82679518526207,1691.0728273058749,543.4707975326263,13070.959692779063
Apple,Guntur,4.0,120.0,5.0,6,1634,57.2504317219587,122.0472598941417,1005.7161429378189,230.56295727989797,104641.73813312933
Apple,Guntur,4.0,120.0,5.0,6,1472,84.90091697329392,109.82301372484523,784.5303046442062,597.8046727066125,35302.9914409327
Apple,Guntur,4.0,120.0,5.0,6,1634,62.153847907125765,117.4841469698268,683.6061438109812,583.6564166717262,89142.44610797078
Apple,Guntur,4.0,120.0,5.0,6,1763,72.63904861898928,122.10504254177587,1786.5182574864175,614.6512834685404,84807.3777449178
Apple,Guntur,4.0,120.0,5.0,6,250,73.49212705779237,118.69882558428198,802.8100479540592,222.46844896715533,10276.396134701186
Apple,Guntur,4.0,120.0,5.0,6,723,73.98722921758065,114.71161388054416,832.0750399809937,165.17193746412943,28446.483133877497
Apple,Guntur,4.0,120.0,5.0,6,1775,74.09856432985552,123.18327223654416,715.1556383510347,295.2099468145273,86114.99094920675
Apple,Guntur,4.0,120.0,5.0,6,1782,80.13440443932862,123.53064623886186,2251.590133383258,645.9128821003367,74434.59987128468
Apple,Guntur,4.0,120.0,5.0,6,727,57.02903873982176,105.87908913827073,2276.8192147595746,524.5003417617129,32712.667083151115
Apple,Guntur,4.0,120.0,5.0,6,1350,67.40217959622275,124.56320261898668,2442.060440861698,298.744682316226,74426.57595755339
Apple,Guntur,4.0,120.0,5.0,6,977,73.75441641719709,118.60548474462465,1734.3147709057212,256.98851662239184,41828.1904683686
Apple,Guntur,4.0,120.0,5.0,6,260,54.65071309015875,113.85344916440243,693.4099602869234,356.52814920800193,14342.773269808433
Apple,Guntur,4.0,120.0,5.0,6,1515,84.5720427777904,117.78270941520825,1550.2789273380376,165.57233747966472,48598.308690870326
Apple,Guntur,4.0,120.0,5.0,6,569,63.547285236542116,107.85575144109801,2440.6232204553803,375.1684072667323,22395.725642670186
Apple,Guntur,8.0,120.0,4.0,8,537,86.61955635786794,112.4254647722503,1070.1724969282864,551.5723534213954,12236.027968173643
Apple,Guntur,8.0,120.0,4.0,8,978,71.7306369774791,106.68583170715306,1889.3946535753116,296.54065370859905,32000.245138337224
Apple,Guntur,8.0,120.0,4.0,8,646,81.66794451502713,103.0464905221064,2488.01112375415,428.96115979366004,10893.568437025388
Apple,Guntur,8.0,120.0,4.0,8,1169,86.93511804793614,110.88380880613067,334.00455636350836,749.8229938114077,26912.19194615449
Apple,Guntur,8.0,120.0,4.0,8,596,73.89953880607763,115.73501926010013,2456.7294841753005,152.74237920428976,22324.47448721782
Apple,Guntur,8.0,120.0,4.0,8,352,67.86351822966931,122.42728011640457,997.2284113438109,218.64492268026476,17990.57085010674
Apple,Guntur,8.0,120.0,4.0,8,1916,68.208892805141,122.26111537743148,2346.03703658383,149.29129159468073,101068.73012033003
Apple,Guntur,8.0,120.0,4.0,8,725,76.14026016117012,125.76129240250233,608.1848335203529,462.8307566546157,34904.23278479089
Apple,Guntur,8.0,120.0,4.0,8,1509,65.61182751258961,122.3680750781922,600.5669291724635,596.237697837083,84448.37294948475
Apple,Guntur,8.0,120.0,4.0,8,1162,64.56930639352176,121.42466773148432,2082.249468294198,706.9506230060725,63276.72978341223
Apple,Guntur,8.0,120.0,4.0,8,624,56.93739049440865,102.12443670657568,1681.3677128869992,235.99176745842956,26279.3573560468
Apple,Guntur,8.0,120.0,4.0,8,1899,79.27080758127732,121.09902406646643,2258.011751998646,336.5966097960751,76837.17474357938
Apple,Guntur,8.0,120.0,4.0,8,1215,74.83913623827212,112.52337895243409,1778.4574976494387,329.70686723231233,43678.19053282504
Apple,Guntur,8.0,120.0,4.0,8,1821,73.53520684947276,108.87699005107882,1599.8331732518236,121.3501749573346,62636.20386191551
Apple,Guntur,8.0,120.0,4.0,8,1815,55.39805043945923,109.27837235215735,1481.581339832642,328.65586925722863,95982.54706245719
Apple,Guntur,8.0,120.0,4.0,8,363,81.71976791155,107.17970465992423,1670.3590468018006,159.7432254956376,7411.854767362409
Apple,Guntur,8.0,120.0,4.0,8,976,60.99768122381543,111.87249372136029,1838.9268636878264,196.84716469246095,47618.04296922349
Apple,Guntur,8.0,120.0,4.0,8,755,89.13067486065125,114.3912083592287,1010.5042404707411,656.6303363380925,17404.56821461716
Apple,Guntur,8.0,120.0,4.0,8,930,69.60674655290671,119.85702343197877,851.8931601626547,229.03357203195904,45651.8307653424
Apple,Guntur,8.0,120.0,4.0,8,1953,84.09528433843941,118.70338094624876,1199.6964777113938,221.30602404959205,66168.61017329065
Apple,Guntur,8.0,120.0,4.0,8,612,69.92468027031975,107.75489661977768,506.5212381788418,228.00619797511513,22417.564969714294
Apple,Guntur,8.0,120.0,4.0,8,1360,64.07762029005394,124.91676673591667,1923.3732167306907,488.04783675798046,80329.81811288465
Apple,Guntur,8.0,120.0,4.0,8,889,80.28141539622547,103.14518706459957,1545.2818630869679,211.05251334974372,18569.558636747854
Apple,Guntur,8.0,120.0,4.0,8,1209,54.51816559067121,104.78574337216598,401.20581244785603,128.5101616232791,60243.78556375604
Apple,Guntur,8.0,120.0,4.0,8,1873,89.2623790303743,106.20792647734412,337.7544240298505,634.3550961027377,30766.90084804184
Apple,Guntur,4.0,120.0,8.0,8,440,71.04498374810036,106.15684487784036,1254.4736283235407,378.9533140781614,13815.791954683897
Apple,Guntur,4.0,120.0,8.0,8,621,88.16924633728989,123.28032929515315,873.9659713517707,110.71317820326932,20819.303367278044
Apple,Guntur,4.0,120.0,8.0,8,1782,72.11290530888316,122.55575618851972,1749.125989561679,214.05409895700078,87925.98017899366
Apple,Guntur,4.0,120.0,8.0,8,891,87.98009776418726,124.66203833100403,2207.837653821008,545.4825182122079,29930.288873000507
Apple,Guntur,4.0,120.0,8.0,8,951,74.71707040353164,111.31607822895653,1715.234080573177,420.77702334406166,32669.64533806182
Apple,Guntur,4.0,120.0,8.0,8,790,83.54302112678239,117.02255208243774,2104.9390562967897,556.0393403004516,23787.851058370492
